Model,Year of Production,Number of Engines,Engine Type,Capacity,Range in km,Fuel consumption in (L/hour),Maintenance cost per hour,Age,Sales Region,Price in USD
Boeing 737,2001,2,Turbofan,162,5700,11.5,802.21,24,Africa,54629160.62
Airbus A320,1998,2,Turbofan,180,6300,5.45,1944.59,27,North America,84349089.12
Airbus A350,2023,2,Turbofan,350,14800,10.34,2130.85,2,Africa,891513703.93
Boeing 737,1996,2,Turbofan,162,5700,12.33,1720.5,29,Africa,59764674.23
Bombardier CRJ200,2013,2,Turbofan,50,3000,3.51,1321.88,12,Asia,20216957.55
Cessna 172,2004,1,Piston,4,1285,24.76,3904.18,21,Australia,253568.65
Bombardier CRJ200,2022,2,Turbofan,50,3000,3.42,4778.07,3,Africa,19049803.87
Airbus A350,1996,2,Turbofan,350,14800,9.22,3402.34,29,Australia,318530122.49
Airbus A350,2012,2,Turbofan,350,14800,10.31,2578.39,13,North America,678545114.06
Airbus A350,2001,2,Turbofan,350,14800,7.95,2550.68,24,South America,472116187.69
Airbus A350,2014,2,Turbofan,350,14800,3.36,2052.33,11,Africa,623289652.15
Boeing 737,2001,2,Turbofan,162,5700,5.1,1860.79,24,Australia,79663036.7
Cessna 172,1996,1,Piston,4,1285,38.38,1366.33,29,Europe,218932.48
Cessna 172,2019,1,Piston,4,1285,46.76,776.33,6,Australia,277063.11
Airbus A350,2007,2,Turbofan,350,14800,14.87,4879.88,18,Asia,479863030.4
Airbus A350,1998,2,Turbofan,350,14800,3.65,3425.8,27,Asia,494649415.3
Boeing 737,2011,2,Turbofan,162,5700,9.4,2815.01,14,Africa,103164268.73
Bombardier CRJ200,2003,2,Turbofan,50,3000,9.39,3066.08,22,North America,14994130.4
Airbus A350,2001,2,Turbofan,350,14800,3.11,3571.03,24,Australia,357394840.07
Boeing 777,2006,2,Turbofan,396,15600,13.09,1205.46,19,Asia,529065138.3
Airbus A350,2000,2,Turbofan,350,14800,12.06,3661.47,25,North America,362571063.53
Boeing 737,2002,2,Turbofan,162,5700,9.81,783.57,23,Australia,75538405.19
Boeing 737,2014,2,Turbofan,162,5700,13.37,3387.86,11,Australia,100631073.29
Airbus A350,1995,2,Turbofan,350,14800,3.46,4031.77,30,Europe,421277909.09
Boeing 737,2014,2,Turbofan,162,5700,14.64,2378.04,11,Asia,98145583.85
Airbus A350,2007,2,Turbofan,350,14800,8.97,4392.36,18,North America,473206515.38
Boeing 777,2009,2,Turbofan,396,15600,6.57,1800.72,16,Australia,498578409.14
Cessna 172,1995,1,Piston,4,1285,34.35,1593.09,30,Australia,188684.18
Cessna 172,2016,1,Piston,4,1285,22.28,4551.82,9,Africa,382881.4
Cessna 172,2020,1,Piston,4,1285,33.96,2660.78,5,Asia,434273.4
Airbus A350,2012,2,Turbofan,350,14800,8.23,1311.71,13,Australia,533792987.79
Boeing 737,2001,2,Turbofan,162,5700,7.87,3557.51,24,Australia,84592719.16
Bombardier CRJ200,1999,2,Turbofan,50,3000,5.95,2001.2,26,Africa,12129481.83
Bombardier CRJ200,1996,2,Turbofan,50,3000,2.6,2095.82,29,Australia,11689731.52
Boeing 777,1999,2,Turbofan,396,15600,9.96,3761.92,26,South America,381542034.67
Cessna 172,2014,1,Piston,4,1285,16.53,1039.0,11,Europe,389639.99
Cessna 172,2010,1,Piston,4,1285,22.46,1267.9,15,Europe,355010.71
Airbus A350,1997,2,Turbofan,350,14800,12.77,3687.68,28,Australia,358038980.62
Cessna 172,2022,1,Piston,4,1285,32.69,850.92,3,Asia,386373.29
Cessna 172,2005,1,Piston,4,1285,10.7,2430.83,20,Europe,252123.43
Bombardier CRJ200,1998,2,Turbofan,50,3000,10.21,1003.37,27,North America,10915260.3
Boeing 737,2006,2,Turbofan,162,5700,5.61,1590.79,19,Europe,83114225.94
Boeing 737,2006,2,Turbofan,162,5700,11.41,2264.58,19,Australia,91671927.1
Airbus A320,1997,2,Turbofan,180,6300,2.33,4593.26,28,North America,95210868.15
Airbus A350,2018,2,Turbofan,350,14800,12.04,1933.53,7,Australia,602837424.49
Cessna 172,1998,1,Piston,4,1285,16.5,4456.62,27,Australia,194112.7
Bombardier CRJ200,2018,2,Turbofan,50,3000,5.5,789.77,7,Africa,19669793.63
Cessna 172,2006,1,Piston,4,1285,35.09,2622.18,19,Australia,289690.99
Cessna 172,2001,1,Piston,4,1285,19.19,4319.32,24,South America,225970.55
Airbus A350,2010,2,Turbofan,350,14800,7.6,3545.45,15,South America,587890264.14
Boeing 737,2001,2,Turbofan,162,5700,11.29,1016.07,24,North America,66890772.1
Boeing 777,2002,2,Turbofan,396,15600,10.49,2112.45,23,Africa,437497605.66
Airbus A320,2009,2,Turbofan,180,6300,4.39,1552.98,16,Australia,112662601.57
Airbus A350,1996,2,Turbofan,350,14800,2.12,4373.58,29,Africa,406547592.83
Boeing 737,2022,2,Turbofan,162,5700,6.44,4848.89,3,South America,97501617.22
Boeing 737,2020,2,Turbofan,162,5700,12.95,2100.92,5,Africa,114280346.57
Cessna 172,2002,1,Piston,4,1285,49.69,3858.89,23,Asia,229617.38
Airbus A320,2013,2,Turbofan,180,6300,14.96,905.33,12,North America,153934422.44
Boeing 777,1998,2,Turbofan,396,15600,11.11,2981.89,27,North America,442861699.2
Airbus A350,2023,2,Turbofan,350,14800,4.16,4741.6,2,Africa,578882503.19
Boeing 777,2016,2,Turbofan,396,15600,14.45,701.67,9,Africa,721016164.24
Cessna 172,2011,1,Piston,4,1285,26.77,2710.19,14,Europe,354096.59
Airbus A350,2014,2,Turbofan,350,14800,10.51,2666.58,11,Europe,573244571.84
Airbus A350,2018,2,Turbofan,350,14800,8.94,1351.73,7,Asia,689418337.26
Boeing 737,2005,2,Turbofan,162,5700,12.0,4013.72,20,Europe,65150740.5
Bombardier CRJ200,2005,2,Turbofan,50,3000,13.34,972.07,20,South America,11758952.79
Airbus A350,2002,2,Turbofan,350,14800,6.95,756.53,23,Europe,446871909.03
Airbus A350,2018,2,Turbofan,350,14800,2.27,4564.43,7,North America,721367003.52
Boeing 777,2003,2,Turbofan,396,15600,7.57,2276.78,22,Australia,474953862.49
Boeing 737,2022,2,Turbofan,162,5700,8.02,3103.52,3,Australia,133371035.2
Bombardier CRJ200,2020,2,Turbofan,50,3000,4.74,978.64,5,North America,23129168.88
Cessna 172,2014,1,Piston,4,1285,42.35,2166.03,11,South America,370689.64
Airbus A350,2009,2,Turbofan,350,14800,10.56,3023.36,16,North America,602914514.95
Airbus A350,1998,2,Turbofan,350,14800,13.1,2279.83,27,Asia,376413278.05
Cessna 172,2001,1,Piston,4,1285,15.2,3074.62,24,Africa,278479.71
Boeing 737,2004,2,Turbofan,162,5700,13.43,4840.07,21,South America,95106883.52
Bombardier CRJ200,2006,2,Turbofan,50,3000,6.83,3399.94,19,Africa,17875693.07
Boeing 737,2019,2,Turbofan,162,5700,9.46,2331.55,6,Europe,98007933.02
Airbus A320,2019,2,Turbofan,180,6300,8.91,3924.33,6,South America,137143348.77
Cessna 172,2006,1,Piston,4,1285,47.53,1954.61,19,Asia,295332.5
Boeing 777,2019,2,Turbofan,396,15600,14.5,844.71,6,Europe,588524606.97
Airbus A320,2016,2,Turbofan,180,6300,12.36,2925.9,9,Australia,122412972.95
Airbus A350,2023,2,Turbofan,350,14800,7.22,4290.94,2,Asia,660480786.17
Cessna 172,2021,1,Piston,4,1285,39.35,789.97,4,Africa,352890.71
Cessna 172,2012,1,Piston,4,1285,17.32,2927.85,13,Europe,339424.19
Airbus A320,2009,2,Turbofan,180,6300,12.39,2474.32,16,North America,99620652.41
Bombardier CRJ200,1995,2,Turbofan,50,3000,4.43,3757.23,30,Europe,11921662.22
Airbus A320,1998,2,Turbofan,180,6300,2.43,3688.72,27,Asia,77161298.16
Airbus A350,2009,2,Turbofan,350,14800,10.08,3775.22,16,Europe,516757980.24
Bombardier CRJ200,2018,2,Turbofan,50,3000,11.43,3922.39,7,Africa,23741213.18
Cessna 172,2021,1,Piston,4,1285,38.67,2623.59,4,Asia,395096.7
Cessna 172,2001,1,Piston,4,1285,47.23,2039.35,24,Europe,254003.37
Airbus A320,2009,2,Turbofan,180,6300,4.33,3103.3,16,Australia,119062013.16
Boeing 737,2023,2,Turbofan,162,5700,13.56,2866.05,2,Australia,121018672.67
Airbus A350,2013,2,Turbofan,350,14800,5.51,2641.89,12,Africa,584944762.41
Boeing 777,2014,2,Turbofan,396,15600,12.03,2538.61,11,Asia,674187469.75
Bombardier CRJ200,2018,2,Turbofan,50,3000,11.24,4293.7,7,Australia,26827199.71
Airbus A350,2012,2,Turbofan,350,14800,13.46,2962.02,13,Australia,540245424.42
Bombardier CRJ200,2008,2,Turbofan,50,3000,10.76,4300.5,17,Africa,16767596.92
Boeing 777,2017,2,Turbofan,396,15600,11.21,4204.44,8,Asia,673158444.07
Airbus A350,2022,2,Turbofan,350,14800,7.76,2360.83,3,North America,798906645.56
Airbus A320,1995,2,Turbofan,180,6300,13.6,870.22,30,Africa,90178315.4
Airbus A320,1996,2,Turbofan,180,6300,10.68,1412.02,29,Asia,82368343.41
Boeing 777,2021,2,Turbofan,396,15600,13.72,3423.8,4,Australia,642414676.63
Boeing 737,2009,2,Turbofan,162,5700,10.81,754.32,16,Australia,104397391.27
Airbus A350,1995,2,Turbofan,350,14800,8.08,1976.91,30,North America,394407400.61
Boeing 777,1998,2,Turbofan,396,15600,7.86,4214.47,27,Australia,407991739.79
Airbus A350,2001,2,Turbofan,350,14800,5.12,2245.02,24,Africa,381549604.98
Bombardier CRJ200,1996,2,Turbofan,50,3000,9.46,4869.97,29,South America,11738355.06
Boeing 777,2018,2,Turbofan,396,15600,6.59,1075.13,7,Asia,836303758.54
Boeing 777,2016,2,Turbofan,396,15600,2.54,1120.03,9,North America,632087384.88
Bombardier CRJ200,1998,2,Turbofan,50,3000,10.1,2208.32,27,North America,11670761.21
Bombardier CRJ200,1999,2,Turbofan,50,3000,3.11,2777.33,26,Africa,12592129.09
Bombardier CRJ200,2008,2,Turbofan,50,3000,3.24,1615.54,17,Australia,15854638.72
Cessna 172,1998,1,Piston,4,1285,34.34,3934.61,27,Africa,189779.86
Boeing 777,2020,2,Turbofan,396,15600,14.93,3589.97,5,Europe,712083742.63
Boeing 737,1996,2,Turbofan,162,5700,11.73,2151.03,29,North America,65544777.49
Bombardier CRJ200,2012,2,Turbofan,50,3000,6.02,2036.98,13,Australia,18411318.56
Cessna 172,2005,1,Piston,4,1285,22.19,3770.4,20,Africa,269502.06
Cessna 172,2000,1,Piston,4,1285,16.66,2446.54,25,South America,237486.72
Boeing 777,2004,2,Turbofan,396,15600,7.62,1935.17,21,Africa,545112452.86
Boeing 737,2001,2,Turbofan,162,5700,5.81,1412.46,24,Europe,74467268.23
Airbus A320,1997,2,Turbofan,180,6300,13.9,4466.89,28,South America,72175417.77
Airbus A320,2002,2,Turbofan,180,6300,3.4,4447.21,23,Africa,85324195.54
Airbus A350,2016,2,Turbofan,350,14800,11.82,795.61,9,Australia,618681206.11
Boeing 737,2013,2,Turbofan,162,5700,13.88,1239.24,12,Europe,116261671.04
Cessna 172,2014,1,Piston,4,1285,38.86,3073.44,11,Australia,341076.55
Airbus A350,2016,2,Turbofan,350,14800,9.45,742.63,9,South America,603028009.76
Airbus A320,1995,2,Turbofan,180,6300,6.24,3598.7,30,North America,74091201.81
Bombardier CRJ200,1995,2,Turbofan,50,3000,10.73,2156.31,30,Europe,12390912.51
Bombardier CRJ200,2009,2,Turbofan,50,3000,8.32,1274.75,16,Europe,17815949.47
Boeing 737,2018,2,Turbofan,162,5700,12.06,3802.67,7,North America,106510654.25
Cessna 172,1997,1,Piston,4,1285,33.6,1366.41,28,Asia,228820.5
Airbus A320,1995,2,Turbofan,180,6300,3.26,592.98,30,South America,87294091.01
Cessna 172,2010,1,Piston,4,1285,36.39,1807.26,15,Africa,320589.3
Boeing 737,2014,2,Turbofan,162,5700,4.75,1039.49,11,Asia,94683999.73
Boeing 777,2020,2,Turbofan,396,15600,2.87,1274.85,5,Asia,715473354.09
Airbus A320,2010,2,Turbofan,180,6300,3.29,4239.74,15,Asia,139203048.13
Airbus A350,1999,2,Turbofan,350,14800,8.69,3462.61,26,South America,396656528.69
Boeing 737,2017,2,Turbofan,162,5700,10.36,903.55,8,Africa,108538622.29
Boeing 737,2008,2,Turbofan,162,5700,12.17,3331.01,17,Australia,78756023.91
Airbus A320,2017,2,Turbofan,180,6300,10.73,3582.7,8,Australia,132202504.04
Cessna 172,2009,1,Piston,4,1285,38.78,693.11,16,Asia,278657.13
Boeing 777,2006,2,Turbofan,396,15600,5.43,4786.64,19,South America,522092717.5
Boeing 777,2011,2,Turbofan,396,15600,9.18,4355.14,14,Australia,551579873.2
Airbus A320,2001,2,Turbofan,180,6300,14.67,710.5,24,South America,86288488.65
Airbus A350,2012,2,Turbofan,350,14800,7.86,4648.09,13,North America,589525660.92
Bombardier CRJ200,1999,2,Turbofan,50,3000,7.99,2173.54,26,North America,13149317.11
Cessna 172,1995,1,Piston,4,1285,48.3,766.62,30,North America,234811.56
Boeing 777,2023,2,Turbofan,396,15600,11.69,1165.03,2,South America,704909796.4
Cessna 172,1999,1,Piston,4,1285,44.81,1268.29,26,Australia,233239.64
Cessna 172,2010,1,Piston,4,1285,44.36,2135.23,15,Africa,269634.06
Airbus A350,2023,2,Turbofan,350,14800,14.99,750.5,2,North America,680805116.37
Boeing 737,2008,2,Turbofan,162,5700,11.0,1567.25,17,North America,93213071.93
Bombardier CRJ200,2023,2,Turbofan,50,3000,5.11,4008.92,2,South America,22075891.07
Cessna 172,1999,1,Piston,4,1285,27.28,2137.25,26,North America,256189.89
Cessna 172,2010,1,Piston,4,1285,48.4,2247.84,15,Asia,293821.54
Bombardier CRJ200,1999,2,Turbofan,50,3000,9.07,2228.85,26,South America,13376882.36
Airbus A320,2016,2,Turbofan,180,6300,8.09,3258.44,9,Australia,142643832.08
Airbus A320,2000,2,Turbofan,180,6300,13.11,2773.21,25,Europe,90351564.02
Airbus A320,2005,2,Turbofan,180,6300,12.12,3879.9,20,Europe,105708575.98
Airbus A320,2019,2,Turbofan,180,6300,14.05,3975.02,6,Australia,139541067.76
Airbus A320,2000,2,Turbofan,180,6300,10.16,784.09,25,South America,84738165.1
Airbus A350,2021,2,Turbofan,350,14800,3.67,1200.86,4,South America,631318379.67
Airbus A350,1997,2,Turbofan,350,14800,10.19,554.76,28,Europe,342880264.28
Boeing 777,2010,2,Turbofan,396,15600,4.2,1952.77,15,North America,571807790.57
Boeing 777,2002,2,Turbofan,396,15600,11.23,3414.9,23,Australia,439804283.68
Boeing 777,2008,2,Turbofan,396,15600,14.3,3362.01,17,North America,574375804.74
Airbus A350,2016,2,Turbofan,350,14800,10.43,3480.67,9,Africa,716401281.51
Boeing 737,2006,2,Turbofan,162,5700,11.91,2202.59,19,North America,88415621.41
Bombardier CRJ200,1996,2,Turbofan,50,3000,6.59,2189.53,29,North America,10966133.26
Airbus A350,2004,2,Turbofan,350,14800,9.66,4937.44,21,North America,524507806.66
Cessna 172,2015,1,Piston,4,1285,12.03,749.21,10,Australia,401486.45
Cessna 172,2008,1,Piston,4,1285,49.35,4774.82,17,North America,316117.38
Airbus A320,2000,2,Turbofan,180,6300,3.11,3070.68,25,Australia,98586777.66
Airbus A350,2017,2,Turbofan,350,14800,7.12,1491.44,8,Africa,711690502.5
Boeing 737,2022,2,Turbofan,162,5700,6.86,3193.27,3,Africa,112501646.17
Bombardier CRJ200,2011,2,Turbofan,50,3000,11.76,4733.36,14,Europe,17756552.68
Boeing 777,2018,2,Turbofan,396,15600,11.95,505.6,7,South America,810197311.77
Boeing 737,2020,2,Turbofan,162,5700,4.0,2414.56,5,North America,110683393.91
Boeing 777,2014,2,Turbofan,396,15600,7.75,1980.56,11,North America,680775396.08
Airbus A350,1998,2,Turbofan,350,14800,7.85,1365.04,27,Asia,379923666.41
Boeing 737,2000,2,Turbofan,162,5700,4.41,4420.09,25,Australia,73198953.34
Cessna 172,1999,1,Piston,4,1285,42.23,1076.7,26,South America,200392.34
Airbus A320,2015,2,Turbofan,180,6300,12.54,2183.0,10,Asia,135802555.11
Airbus A350,1995,2,Turbofan,350,14800,3.41,3057.6,30,North America,322589660.05
Cessna 172,2014,1,Piston,4,1285,43.73,2828.59,11,Australia,327325.89
Boeing 777,2015,2,Turbofan,396,15600,7.63,2463.2,10,South America,678762026.77
Boeing 737,2000,2,Turbofan,162,5700,9.49,3234.75,25,North America,70806587.97
Boeing 777,2009,2,Turbofan,396,15600,5.97,1332.04,16,Europe,557905383.49
Airbus A350,2003,2,Turbofan,350,14800,3.92,4470.21,22,North America,514318314.57
Airbus A320,2023,2,Turbofan,180,6300,10.41,2787.56,2,Australia,172363844.83
Boeing 777,1996,2,Turbofan,396,15600,3.51,4953.03,29,South America,399298510.02
Boeing 737,2021,2,Turbofan,162,5700,7.27,3799.92,4,Africa,139835711.47
Airbus A350,2005,2,Turbofan,350,14800,12.01,3324.23,20,Africa,563727677.42
Boeing 737,2013,2,Turbofan,162,5700,7.34,897.05,12,Asia,124201810.46
Cessna 172,2003,1,Piston,4,1285,28.48,2956.0,22,Asia,245166.4
Cessna 172,2007,1,Piston,4,1285,25.81,3727.85,18,Asia,323621.92
Cessna 172,2000,1,Piston,4,1285,23.72,1546.67,25,South America,225985.24
Airbus A350,1998,2,Turbofan,350,14800,14.42,2573.34,27,South America,352517613.22
Boeing 777,2020,2,Turbofan,396,15600,13.73,1910.35,5,Asia,697738326.92
Boeing 737,2015,2,Turbofan,162,5700,4.87,699.5,10,Asia,85462985.28
Boeing 737,2016,2,Turbofan,162,5700,13.63,1221.62,9,Africa,120379048.27
Cessna 172,2021,1,Piston,4,1285,48.53,4009.62,4,Europe,372487.99
Boeing 737,2023,2,Turbofan,162,5700,10.01,2743.28,2,Africa,142737799.41
Boeing 777,2009,2,Turbofan,396,15600,7.69,2585.23,16,Africa,506390226.85
Bombardier CRJ200,2016,2,Turbofan,50,3000,9.67,1000.26,9,North America,21709054.85
Airbus A350,2013,2,Turbofan,350,14800,10.37,4010.92,12,Australia,606985149.71
Bombardier CRJ200,2007,2,Turbofan,50,3000,6.86,1025.66,18,Asia,17781372.46
Airbus A350,2016,2,Turbofan,350,14800,8.59,3435.15,9,North America,691764517.85
Boeing 737,2019,2,Turbofan,162,5700,6.29,1174.87,6,Africa,121647775.93
Boeing 777,2007,2,Turbofan,396,15600,7.97,3615.15,18,Europe,518779378.58
Bombardier CRJ200,2000,2,Turbofan,50,3000,12.78,1011.84,25,South America,12137332.73
Airbus A350,2021,2,Turbofan,350,14800,10.69,3736.24,4,Australia,756063017.94
Airbus A320,2016,2,Turbofan,180,6300,4.46,3866.54,9,North America,128498424.83
Bombardier CRJ200,2016,2,Turbofan,50,3000,12.32,2146.42,9,Europe,19511113.81
Boeing 737,2014,2,Turbofan,162,5700,10.36,960.86,11,South America,115491644.95
Airbus A320,2007,2,Turbofan,180,6300,10.11,3236.46,18,North America,100564927.14
Boeing 737,2004,2,Turbofan,162,5700,5.95,4617.7,21,Asia,85584980.96
Boeing 737,2008,2,Turbofan,162,5700,8.25,3323.37,17,Africa,92168291.75
Airbus A350,2017,2,Turbofan,350,14800,6.96,2696.38,8,Asia,652794009.73
Cessna 172,2013,1,Piston,4,1285,37.67,1138.32,12,Asia,300317.63
Airbus A350,2018,2,Turbofan,350,14800,10.11,4041.81,7,North America,702534201.65
Bombardier CRJ200,2000,2,Turbofan,50,3000,14.49,3194.48,25,Africa,13865221.49
Cessna 172,2003,1,Piston,4,1285,31.6,1052.33,22,Africa,194414.2
Boeing 777,2012,2,Turbofan,396,15600,14.97,3250.43,13,Asia,692352294.68
Airbus A350,2006,2,Turbofan,350,14800,14.31,4847.05,19,Africa,541430725.13
Boeing 737,2002,2,Turbofan,162,5700,11.38,1293.92,23,North America,78231249.12
Bombardier CRJ200,1999,2,Turbofan,50,3000,6.64,2604.8,26,Europe,13104138.58
Bombardier CRJ200,2004,2,Turbofan,50,3000,7.17,2589.51,21,Africa,17945479.69
Boeing 737,1997,2,Turbofan,162,5700,6.3,4378.59,28,Australia,69016616.2
Bombardier CRJ200,2000,2,Turbofan,50,3000,13.01,2118.94,25,Asia,11911640.65
Airbus A320,1995,2,Turbofan,180,6300,11.13,1975.5,30,Europe,77394569.83
Bombardier CRJ200,2010,2,Turbofan,50,3000,12.54,4853.24,15,Asia,19456073.0
Boeing 737,2018,2,Turbofan,162,5700,11.27,848.65,7,Europe,110232983.48
Bombardier CRJ200,2022,2,Turbofan,50,3000,13.98,1630.91,3,North America,23727758.67
Boeing 777,2019,2,Turbofan,396,15600,12.39,4667.28,6,Africa,732953495.71
Airbus A320,2006,2,Turbofan,180,6300,13.21,4313.89,19,Europe,87742406.11
Airbus A320,2013,2,Turbofan,180,6300,14.07,3272.91,12,Europe,137938546.75
Bombardier CRJ200,2022,2,Turbofan,50,3000,5.6,2543.29,3,Europe,23667379.87
Boeing 737,2011,2,Turbofan,162,5700,14.94,3482.77,14,Europe,96855994.6
Boeing 777,2005,2,Turbofan,396,15600,13.7,614.81,20,Australia,535044531.61
Boeing 777,1996,2,Turbofan,396,15600,9.2,727.75,29,South America,371281311.74
Boeing 737,2014,2,Turbofan,162,5700,12.24,4478.77,11,Africa,96114703.4
Cessna 172,2013,1,Piston,4,1285,23.52,3316.51,12,Europe,370138.5
Airbus A350,2009,2,Turbofan,350,14800,12.69,4120.46,16,Africa,461963130.1
Cessna 172,2008,1,Piston,4,1285,39.73,948.76,17,Europe,295536.56
Cessna 172,2020,1,Piston,4,1285,36.03,4488.18,5,Asia,400529.53
Boeing 777,2010,2,Turbofan,396,15600,12.1,3176.71,15,Africa,601635457.07
Bombardier CRJ200,2014,2,Turbofan,50,3000,13.57,3613.69,11,North America,17905715.4
Cessna 172,2022,1,Piston,4,1285,49.12,4433.49,3,Australia,472624.78
Boeing 737,2010,2,Turbofan,162,5700,7.49,2422.77,15,Africa,94360678.12
Bombardier CRJ200,2016,2,Turbofan,50,3000,12.64,1640.07,9,Europe,21676122.94
Boeing 737,2005,2,Turbofan,162,5700,5.62,4792.58,20,North America,88719119.87
Airbus A320,1996,2,Turbofan,180,6300,12.77,3675.03,29,Europe,80921934.97
Bombardier CRJ200,2022,2,Turbofan,50,3000,8.96,4505.03,3,North America,25715044.46
Boeing 777,2009,2,Turbofan,396,15600,13.44,1747.81,16,Australia,623805279.78
Cessna 172,2013,1,Piston,4,1285,25.9,680.76,12,South America,345050.14
Cessna 172,1997,1,Piston,4,1285,19.99,4765.12,28,Europe,217249.25
Boeing 777,2007,2,Turbofan,396,15600,13.31,3411.23,18,North America,594589606.92
Airbus A350,2020,2,Turbofan,350,14800,14.69,1222.76,5,Asia,651634456.51
Airbus A320,2020,2,Turbofan,180,6300,3.95,763.83,5,Asia,136265705.44
Airbus A350,2010,2,Turbofan,350,14800,13.82,4497.51,15,North America,565697637.42
Airbus A320,2020,2,Turbofan,180,6300,14.88,972.46,5,South America,139928219.49
Airbus A350,2008,2,Turbofan,350,14800,7.31,522.8,17,Europe,508513559.54
Airbus A350,2019,2,Turbofan,350,14800,6.32,3334.14,6,North America,720005102.41
Cessna 172,2008,1,Piston,4,1285,39.37,2075.73,17,Asia,322904.26
Bombardier CRJ200,1997,2,Turbofan,50,3000,3.21,4732.19,28,Australia,11642238.66
Cessna 172,2001,1,Piston,4,1285,31.69,2740.96,24,North America,193993.55
Airbus A320,1996,2,Turbofan,180,6300,10.67,1852.82,29,North America,86168634.4
Airbus A350,2015,2,Turbofan,350,14800,8.2,1011.93,10,Africa,741682491.25
Boeing 777,2013,2,Turbofan,396,15600,7.7,562.91,12,North America,688353403.52
Boeing 737,2003,2,Turbofan,162,5700,12.14,4192.92,22,Africa,63511211.94
Cessna 172,1998,1,Piston,4,1285,49.79,2727.2,27,Europe,197715.0
Boeing 777,1999,2,Turbofan,396,15600,2.61,3571.6,26,Africa,410413825.92
Airbus A350,2015,2,Turbofan,350,14800,6.6,1627.26,10,Asia,622909641.8
Airbus A320,2002,2,Turbofan,180,6300,13.75,3744.3,23,South America,90384953.32
Cessna 172,2013,1,Piston,4,1285,47.69,2347.72,12,Asia,351744.57
Cessna 172,2003,1,Piston,4,1285,38.71,755.78,22,South America,255469.39
Airbus A320,2013,2,Turbofan,180,6300,8.51,3114.57,12,Europe,129284548.57
Bombardier CRJ200,2019,2,Turbofan,50,3000,3.83,3364.83,6,Europe,21475458.89
Cessna 172,2007,1,Piston,4,1285,18.48,599.07,18,Europe,281362.45
Boeing 777,2004,2,Turbofan,396,15600,11.16,3583.23,21,South America,493484009.59
Airbus A350,2010,2,Turbofan,350,14800,13.46,2110.86,15,Africa,625477260.74
Boeing 777,2015,2,Turbofan,396,15600,10.48,3476.03,10,Australia,607176833.73
Cessna 172,2018,1,Piston,4,1285,10.6,2253.18,7,Asia,378746.98
Boeing 737,2006,2,Turbofan,162,5700,8.85,4542.23,19,Europe,77507633.95
Airbus A320,2010,2,Turbofan,180,6300,12.44,2240.11,15,Europe,106158628.49
Airbus A320,2005,2,Turbofan,180,6300,4.66,2239.51,20,Europe,96991396.75
Bombardier CRJ200,2006,2,Turbofan,50,3000,10.87,3767.82,19,Africa,18417455.09
Boeing 737,2017,2,Turbofan,162,5700,13.65,969.25,8,Australia,109338193.79
Airbus A320,2023,2,Turbofan,180,6300,10.04,1421.11,2,North America,138833237.66
Boeing 737,2013,2,Turbofan,162,5700,6.34,4671.23,12,North America,109052576.86
Cessna 172,2010,1,Piston,4,1285,11.02,4664.1,15,Europe,371437.29
Bombardier CRJ200,2008,2,Turbofan,50,3000,6.29,3686.88,17,North America,16978407.27
Boeing 737,2014,2,Turbofan,162,5700,3.78,2772.79,11,Australia,90172879.87
Cessna 172,2009,1,Piston,4,1285,26.33,1408.53,16,Europe,255599.34
Boeing 737,2001,2,Turbofan,162,5700,2.06,1168.45,24,North America,65056843.52
Boeing 737,2004,2,Turbofan,162,5700,14.27,4866.06,21,North America,80215143.23
Boeing 737,2020,2,Turbofan,162,5700,2.9,3531.44,5,Africa,119227919.28
Airbus A350,2017,2,Turbofan,350,14800,13.91,1029.73,8,Europe,723427603.05
Bombardier CRJ200,2011,2,Turbofan,50,3000,7.82,4542.21,14,North America,19077379.8
Airbus A320,2013,2,Turbofan,180,6300,4.45,718.37,12,Asia,113343010.31
Boeing 737,2018,2,Turbofan,162,5700,7.8,1250.3,7,South America,111658305.22
Boeing 777,1995,2,Turbofan,396,15600,8.08,2030.77,30,Australia,473605327.79
Airbus A350,2007,2,Turbofan,350,14800,3.4,4717.35,18,Africa,458884451.58
Boeing 737,2020,2,Turbofan,162,5700,13.09,946.67,5,Asia,138227303.92
Boeing 777,1997,2,Turbofan,396,15600,12.78,1469.4,28,North America,399094966.83
Bombardier CRJ200,2012,2,Turbofan,50,3000,10.26,4657.31,13,North America,20088817.38
Airbus A350,2022,2,Turbofan,350,14800,12.39,665.28,3,North America,786278679.71
Boeing 737,2011,2,Turbofan,162,5700,9.9,3476.07,14,Europe,101505688.85
Cessna 172,2011,1,Piston,4,1285,36.24,986.67,14,Europe,269700.01
Cessna 172,2007,1,Piston,4,1285,21.48,2568.25,18,Australia,320908.27
Airbus A350,2015,2,Turbofan,350,14800,6.99,2753.18,10,South America,634132735.26
Cessna 172,2004,1,Piston,4,1285,25.2,2927.19,21,South America,250279.49
Cessna 172,2022,1,Piston,4,1285,17.2,1741.92,3,Africa,328506.24
Boeing 737,2018,2,Turbofan,162,5700,12.96,3004.73,7,Asia,118162013.66
Cessna 172,2021,1,Piston,4,1285,27.81,4681.62,4,Asia,458773.0
Airbus A320,2003,2,Turbofan,180,6300,10.14,2201.69,22,South America,81935958.84
Bombardier CRJ200,2018,2,Turbofan,50,3000,10.03,1872.48,7,Africa,23041788.16
